assembly_id,haplotype_label,path_length,valid_transition_count,transition_fraction,mean_node_consistency,mean_edge_consistency,rescued_node_count,questionable_node_count,consistency_score
PSEN1_H_2,HEALTHY,24696,24695,1.0,0.9630634687656506,0.9995674877001514,4,0,0.9887892869397406
PSEN1_H_3,HEALTHY,24696,24695,1.0,0.9630733469488747,0.9995870829117458,3,0,0.9887981289581862
PSEN1_H_5,HEALTHY,24695,24694,1.0,0.9630418070206215,0.9995269731907609,6,0,0.9887706340634147
PSEN1_H_6,HEALTHY,24695,24694,1.0,0.9630627948221103,0.999569766938467,4,0,0.9887897685281732
PSEN1_H_7,HEALTHY,24696,24695,1.0,0.9630532640309148,0.9995469154493497,5,0,0.9887800538440794
PSEN1_H_8,HEALTHY,24695,24694,1.0,0.9630730046930304,0.9995903521678168,3,0,0.9887990070582542
PSEN1_H_9,HEALTHY,24694,24693,1.0,0.9630912619785769,0.9996298436425809,1,0,0.9888163316863472
PSEN1_H_11,HEALTHY,24696,24695,1.0,0.9630732659747194,0.9995872461941133,3,0,0.9887981536506498
PSEN1_H_13,HEALTHY,24697,24696,1.0,0.9630650493391154,0.9995678370966605,4,0,0.9887898659307328
PSEN1_H_14,HEALTHY,24697,24696,1.0,0.96305492330103,0.9995474222956471,5,0,0.9887807036790031
PSEN1_H_15,HEALTHY,24695,24694,1.0,0.9630620546979364,0.9995674715128299,4,0,0.9887888578632298
PSEN1_H_16,HEALTHY,24697,24696,1.0,0.9630545960990452,0.999546604589423,5,0,0.9887803602065405
PSEN1_H_18,HEALTHY,24696,24695,1.0,0.9630737611993525,0.9995885659249818,3,0,0.9887986981373003
PSEN1_H_19,HEALTHY,24698,24697,1.0,0.9630660119889732,0.9995069498729927,5,0,0.9887718885585897
PSEN1_H_21,HEALTHY,24696,24695,1.0,0.9630630612187446,0.9995266657807864,4,0,0.9887769180998593
PSEN1_H_23,HEALTHY,24697,24696,1.0,0.9630844743525094,0.9996063635160352,2,0,0.9888072513605635
PSEN1_H_24,HEALTHY,24695,24694,1.0,0.9630818531834753,0.9995872321780044,3,0,0.9888007256084439
PSEN1_H_25,HEALTHY,24697,24696,1.0,0.9630599866573607,0.9995582025213863,3,0,0.9887854567536241
PSEN1_H_27,HEALTHY,24693,24692,1.0,0.963069843795236,0.9995894876749506,3,0,0.988797799441056
PSEN1_H_28,HEALTHY,24697,24696,1.0,0.9630752577200778,0.999588416566159,3,0,0.9887991022858711
PSEN1_H_29,HEALTHY,24697,24696,1.0,0.9630848022736793,0.9995887404410189,3,0,0.9888020628144094
PSEN1_H_30,HEALTHY,24696,24695,1.0,0.9630836360318701,0.9995892149620644,3,0,0.9888018552981803
PSEN1_H_32,HEALTHY,24696,24695,1.0,0.9630935188720069,0.9995880747726824,1,0,0.9888044780934069
PSEN1_H_34,HEALTHY,24695,24694,1.0,0.9630618097743853,0.9995671436073179,4,0,0.988788686014511
PSEN1_H_35,HEALTHY,24695,24694,1.0,0.9630716876938673,0.9995867369573282,3,0,0.9887975273953586
PSEN1_H_36,HEALTHY,24697,24696,1.0,0.9630847172542589,0.9995684888504771,4,0,0.9887959618314208
PSEN1_H_37,HEALTHY,24697,24696,1.0,0.9630749231075494,0.999568322919831,4,0,0.9887929738082142
PSEN1_H_38,HEALTHY,24696,24695,1.0,0.9630832244683762,0.9996070033605764,2,0,0.9888070683486858
PSEN1_H_39,HEALTHY,24696,24695,1.0,0.9630833881950897,0.9995883918474456,3,0,0.9888015340127605
PSEN1_H_40,HEALTHY,24697,24696,1.0,0.9630846380725934,0.9995480807519737,3,0,0.98878981564737
PSEN1_H_41,HEALTHY,24696,24695,1.0,0.9630731013715185,0.9995865904096456,3,0,0.9887979075343492
PSEN1_H_42,HEALTHY,24696,24695,1.0,0.9630731013715185,0.9995865904096456,3,0,0.9887979075343492
PSEN1_H_43,HEALTHY,24695,24694,1.0,0.9630816479182827,0.9996066582128507,2,0,0.98880649183934
PSEN1_H_44,HEALTHY,24696,24695,1.0,0.9630631415504164,0.999566669960815,4,0,0.9887889434533694
PSEN1_H_45,HEALTHY,24697,24696,1.0,0.9630646378151346,0.9995666901622732,4,0,0.9887893983932223
PSEN1_H_46,HEALTHY,24696,24695,1.0,0.9630830611926204,0.9996065108584762,2,0,0.988806871615329
PSEN1_H_47,HEALTHY,24696,24695,1.0,0.9630929406820506,0.9995864271272782,1,0,0.9888038103427986
PSEN1_H_49,HEALTHY,24696,24695,1.0,0.9630631415504164,0.999566669960815,4,0,0.9887889434533694
PSEN1_H_50,HEALTHY,24695,24694,1.0,0.9630818941693328,0.9996073153514274,2,0,0.988806762856228
PSEN1_H_51,HEALTHY,24697,24696,1.0,0.9630446366812238,0.999526684947219,6,0,0.988771396488533
PSEN1_H_52,HEALTHY,24695,24694,1.0,0.9630617274694521,0.9995668157018057,4,0,0.9887885629513773
PSEN1_H_53,HEALTHY,24696,24695,1.0,0.9630731013715185,0.9995865904096456,3,0,0.9887979075343492
PSEN1_H_54,HEALTHY,24696,24695,1.0,0.9630731013715185,0.9995865904096456,3,0,0.9887979075343492
PSEN1_H_55,HEALTHY,24695,24694,1.0,0.9630816885736089,0.9995869002463079,3,0,0.988800576645975
PSEN1_H_56,HEALTHY,24697,24696,1.0,0.9630645555168665,0.9995665242316271,4,0,0.988789323924548
PSEN1_H_57,HEALTHY,24698,24697,1.0,0.963065969368816,0.9995663785142406,4,0,0.988789704364917
PSEN1_H_58,HEALTHY,24697,24696,1.0,0.963074514934688,0.9995864438738311,3,0,0.9887982876425557
PSEN1_H_59,HEALTHY,24695,24694,1.0,0.9630768105955138,0.9995669789907855,4,0,0.9887931368758898
PSEN1_H_60,HEALTHY,24697,24696,1.0,0.9630545960990452,0.999546604589423,5,0,0.9887803602065405
PSEN1_H_62,HEALTHY,24697,24696,1.0,0.963074514934688,0.9995864438738311,3,0,0.9887982876425557
PSEN1_H_64,HEALTHY,24695,24694,1.0,0.9630617274694521,0.9995668157018057,4,0,0.9887885629513773
PSEN1_H_65,HEALTHY,24695,24694,1.0,0.9630816479182827,0.9996066582128507,2,0,0.98880649183934
PSEN1_H_66,HEALTHY,24697,24696,1.0,0.963074514934688,0.9995864438738311,3,0,0.9887982876425557
PSEN1_H_67,HEALTHY,24695,24694,1.0,0.9630720142586022,0.9995877166912064,3,0,0.9887979192849427
PSEN1_H_69,HEALTHY,24697,24696,1.0,0.9630648004205834,0.999567340610406,4,0,0.9887896423092968
PSEN1_H_70,HEALTHY,24695,24694,1.0,0.9630720149223516,0.9995875534022266,3,0,0.9887978704973734
PSEN1_H_72,HEALTHY,24695,24694,1.0,0.963071933281168,0.9995873914407997,3,0,0.9887977974165904
