anchor_id,node_id,haplotype_count,U,D,C,alpha,beta,gamma,final_score,selected
a1,n1,14,0.0,0.3660130718954248,0.8125,0.35,0.35,0.3,0.3718545751633987,False
a2,n2,14,0.0,0.1830065359477124,0.875,0.35,0.35,0.3,0.32655228758169935,False
a3,n3,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a4,n4,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a5,n5,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a6,n6,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a7,n7,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a8,n8,14,0.0,0.27450980392156865,0.6666666666666666,0.35,0.35,0.3,0.296078431372549,False
a9,n9,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a10,n10,13,0.0714285714285714,0.08496732026143791,0.9821428571428572,0.35,0.35,0.3,0.3493814192343604,False
a11,n11,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a12,n12,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a13,n13,14,0.0,0.1830065359477124,0.75,0.35,0.35,0.3,0.2890522875816993,False
a14,n14,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a15,n15,13,0.0714285714285714,0.08496732026143791,0.9821428571428572,0.35,0.35,0.3,0.3493814192343604,False
a16,n16,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a17,n17,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a18,n18,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a19,n19,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a20,n20,14,0.0,0.17647058823529413,0.7592592592592593,0.35,0.35,0.3,0.2895424836601307,False
a21,n21,13,0.0714285714285714,0.08496732026143791,0.9821428571428572,0.35,0.35,0.3,0.3493814192343604,False
a22,n22,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a23,n23,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a24,n24,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a25,n25,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
a26,n26,14,0.0,0.0915032679738562,1.0,0.35,0.35,0.3,0.33202614379084966,False
